Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
FAA,108,106,124,128,
FHWA,8,8,7,6,
FMCSA,10,7,6,6,
FRA,1,2,4,2,
FTA,1,7,1,2,
MARAD,2,1,6,4,
NHTSA,16,11,16,10,
OIG,3,4,6,4,
OST,6,5,7,4,
PHMSA,3,2,3,2,
RITA,1,0,0,1,
SLSDC,0,0,0,0,
Total,159,153,180,169,
