Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
AF,258,303,169,219,
ARMY,141,122,139,125,
ASBCA,0,0,0,0,
DCAA,2,3,2,3,
DCMA,3,8,6,6,
DeCA,0,0,0,0,
DFAS,1,6,1,6,
DIA,76,117,82,163,
DISA,0,1,1,1,
DLA,8,23,9,18,
DoD IG,22,23,15,20,
DSS,0,1,0,0,
DTRA,1,1,0,1,
NAVY,306,293,314,288,
NGA,9,4,10,0,
NRO,4,6,8,7,
NSA,52,57,28,44,
OSD/JS,183,180,123,179,
Total,1066,1148,907,1080,
