Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
AMS,12,7,18,6,
APHIS,17,24,30,11,
ASCR,0,3,0,3,
DM,2,1,1,1,
FAS,0,0,0,0,
FNCS,16,35,13,30,
FS,66,52,75,54,
FSA,32,31,35,29,
FSIS,0,1,0,1,
GIPSA,1,2,1,1,
NAD,1,0,0,0,
NRCS,0,15,0,15,
OBPA,0,0,0,0,
OCFO,0,0,0,0,
OGC,6,1,6,3,
OIG,15,13,11,12,
OSEC/OCIO,3,3,1,2,
RD,23,23,20,21,
REE,2,2,4,2,
RMA,1,12,2,1,
Total,197,225,217,192,
