Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
CBP,450,338,815,343,
FLETC,1,1,1,1,
ICE,25,245,331,230,
OGC,157,114,134,164,
OIG,0,12,0,14,
TSA,21,41,14,46,
USCG,42,44,62,41,
USCIS,2004,1079,3924,1049,
USSS,40,43,44,45,
Total,2740,1917,5325,1933,
