Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
FAA,49,102,60,101,
FHWA,19,15,27,17,
FMCSA,3,1,3,0,
FRA,1,7,1,2,
FTA,5,6,6,3,
MARAD,3,3,2,3,
NHTSA,9,12,9,11,
OIG,0,5,2,5,
OST,6,5,5,5,
PHMSA,3,8,3,8,
RITA,1,0,2,0,
SLSDC,0,0,0,0,
Total,99,164,120,155,
