Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
HQ,25,31,24,29,
OIG,1,11,1,9,
R01,1,0,1,0,
R02,0,1,0,1,
R03,3,2,4,2,
R04,4,6,4,5,
R05,3,7,3,6,
R06,3,3,3,3,
R07,1,0,1,0,
R08,1,1,1,1,
R09,4,3,4,1,
R0X,0,2,1,2,
Total,46,67,47,59,
