Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
FAA,89,115,80,110,
FHWA,10,20,8,20,
FMCSA,11,2,9,8,
FRA,2,6,2,4,
FTA,5,0,3,2,
MARAD,5,5,5,3,
NHTSA,7,7,7,8,
OIG,8,12,7,10,
OST,4,3,6,1,
PHMSA,1,1,2,3,
RITA,0,3,0,3,
SLSDC,1,0,1,0,
Total,143,174,130,172,
