Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
HQ,215,283,246,182,
Region 1,0,0,0,0,
Region 2,0,0,0,0,
Region 3,0,0,0,0,
Region 4,0,0,0,0,
Region 5,0,0,0,1,
Region 6,0,0,0,1,
Region 7,0,0,0,0,
Region 8,0,0,0,0,
Region 9,0,0,0,0,
Region 10,0,0,0,0,
Total,215,283,246,184,
