Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,1,0,1,0,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,0,1,0,2,
CFO,0,0,0,0,
EBSA,8,14,9,14,
ETA,52,43,27,32,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,21,14,12,13,
OASAM,7,5,7,10,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,2,5,1,5,
OIG,1,0,2,1,
OLMS,1,7,2,3,
OPA,0,0,0,0,
OSEC,0,1,0,0,
OSHA,113,163,48,86,
OWCP,167,83,147,79,
SOL,0,4,2,2,
VETS,3,12,3,6,
WB,0,0,0,0,
WHD,24,52,16,44,
Total,400,404,277,297,
