Component,Number of Appeals Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Appeals Received - Number of Received During Fiscal Year From Current Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Appeals Processed - Number of Processed During Fiscal Year From Current Annual Report,
HQ,9,33,17,32,
OIG,10,10,11,10,
R01,0,0,0,0,
R02,1,1,2,1,
R03,1,1,1,0,
R04,0,3,0,3,
R05,3,1,3,1,
R06,2,4,2,4,
R07,0,0,0,0,
R08,0,1,1,1,
R09,0,1,0,1,
R0X,0,1,0,0,
Total,26,56,37,53,
