Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
AMS,0,1,1,1,1,
APHIS,5,21,1,28.12,23,
ASCR,0,1,1,1,1,
FAS,0,0,0,0,0,
FNCS,1,2,1,2.67,3,
FS,2,9,1,6.91,8,
FSA,40,263,1,1,303,
FSIS,0,5,1,1,5,
GIPSA,0,0,0,0,0,
NAD,0,0,0,0,0,
NRCS,1,2,1,14,2,
OBPA,0,0,0,0,0,
OCFO,0,0,0,0,0,
OGC,0,0,0,0,0,
OIG,0,2,8,8,2,
OSEC/OCIO/DM,1,8,1,23.86,7,
RD,0,2,3,3,2,
REE,0,0,0,0,0,
RMA,3,3,5,5.17,5,
Total,53,319,N/A,N/A,362,
