Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
ADJ BDS,12,0,0,12,1,4,1,0,0,1,2,1,34
ALJ,111,10,0,21,2,2,0,0,1,1,1,0,149
ASP,0,2,0,6,0,0,0,1,0,0,0,1,10
BLS,19,7,2,16,0,0,1,1,0,2,0,0,48
CFO,1,0,0,4,0,0,0,0,0,0,0,0,5
EBSA,156,86,25,78,91,17,19,0,2,3,9,1,487
ETA,452,715,18,566,639,23,59,13,121,37,116,1,2760
EXEC SEC,1,2,0,2,0,0,0,0,0,0,0,0,5
ILAB,6,1,0,11,0,0,0,0,0,0,0,0,18
MSHA,547,959,88,96,3,43,31,6,4,3,36,0,1816
OASAM,83,47,10,54,3,7,9,3,1,38,3,7,265
OCIA,13,7,6,15,0,0,0,0,1,1,0,0,43
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,0
OFCCP,28,75,25,68,39,7,14,1,4,9,5,0,275
OIG,12,25,6,20,2,0,1,1,0,0,1,0,68
OLMS,7,22,10,19,0,1,0,0,12,0,0,2,73
OPA,0,0,8,2,0,0,0,0,0,0,0,0,10
OSEC,2,6,0,8,0,0,0,0,0,0,0,1,17
OSHA,733,3887,1206,1775,281,150,28,39,55,86,283,293,8816
OWCP,429,28,32,78,7,5,384,1,9,7,23,8,1011
SOL,25,28,6,33,1,7,0,1,0,10,0,3,114
VETS,186,89,8,60,3,2,0,0,0,0,0,8,356
WB,1,0,0,14,0,0,0,0,0,0,0,0,15
WHD,102,1340,172,731,7,144,0,11,20,3,194,56,2780
Total,2926,7336,1622,3689,1079,412,547,78,230,201,673,382,19175
