Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ACF,Date of Receipt,2012-06-26,2012-06-19,2012-06-18,2012-06-18,2012-06-15,2012-05-31,2012-05-31,2012-05-02,2012-04-25,2012-01-31
ACF,Number of Days Pending,569,574,575,575,576,587,587,607,612,672
CMS,Date of Receipt,2011-08-26,2011-08-11,2011-06-28,2011-06-27,2011-06-07,2011-06-06,2011-06-02,2011-05-19,2011-05-10,2011-04-25
CMS,Number of Days Pending,777,788,819,820,834,835,837,846,853,864
OIG,Date of Receipt,2014-08-11,2014-08-04,2014-07-30,2014-07-28,2014-07-24,2014-07-23,2014-07-10,2014-07-10,2014-05-16,2014-02-19
OIG,Number of Days Pending,36,41,44,46,48,49,58,58,95,157
CDC,Date of Receipt,2010-10-08,2010-10-08,2010-04-16,2010-04-15,2010-03-16,2010-03-16,2010-03-15,2010-03-15,2010-01-27,2009-10-02
CDC,Number of Days Pending,998,998,1120,1121,1143,1143,1144,1144,1176,1253
FDA,Date of Receipt,2010-04-21,2010-04-04,2010-03-02,2010-02-18,2010-01-06,2009-12-11,2009-09-21,2009-08-27,2009-07-23,2008-11-18
FDA,Number of Days Pending,1117,1130,1153,1161,1190,1206,1262,1278,1303,1473
HRSA,Date of Receipt,2013-08-20,2013-08-09,2013-08-08,2013-05-15,2013-04-29,2013-04-02,2013-03-29,2013-03-21,2013-03-07,2012-12-05
HRSA,Number of Days Pending,280,287,288,347,359,378,380,386,396,458
IHS,Date of Receipt,2014-08-20,2014-08-20,2014-08-19,2014-08-19,2014-07-30,2014-07-08,2014-04-09,2014-04-09,2013-11-14,2013-11-14
IHS,Number of Days Pending,29,29,30,30,44,60,122,122,221,221
NIH,Date of Receipt,2014-06-23,2014-06-13,2014-05-23,2014-05-23,2014-05-14,2014-03-28,2013-10-17,2013-09-27,2013-09-05,2011-03-22
NIH,Number of Days Pending,70,76,90,90,95,130,240,242,258,876
SAMHSA,Date of Receipt,2013-10-22,2013-10-17,2013-10-17,2013-10-17,2013-09-04,2013-08-30,2013-04-30,2013-04-29,2013-04-29,2013-01-18
SAMHSA,Number of Days Pending,237,240,240,240,270,272,358,359,359,428
OS,Date of Receipt,2011-09-20,2011-07-19,2011-05-19,2011-04-28,2011-02-17,2011-01-20,2010-12-10,2010-10-21,2010-08-11,2009-10-05
OS,Number of Days Pending,761,805,889,893,910,930,999,1028,1039,1252
OASH,Date of Receipt,2013-12-31,2013-12-30,2013-12-24,2013-12-20,2013-12-20,2013-12-17,2013-11-14,2013-11-01,2013-10-18,2013-10-18
OASH,Number of Days Pending,190,191,194,196,196,199,221,229,239,239
ACL,Date of Receipt,,,,,,,,,2014-08-20,2014-08-18
ACL,Number of Days Pending,,,,,,,,,29,31
