Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
Admin,0,0,0,1,0,0,0,0,0,0,0,0,1
BVA,7,1,1,6,0,0,0,1,0,0,0,4,20
C&LA,0,0,0,7,0,0,0,0,0,0,0,0,7
CFM,13,32,2,13,0,1,7,1,0,0,4,8,81
GC,11,14,4,4,0,0,2,0,0,0,0,1,36
HRM,2,0,0,0,0,0,0,0,0,0,0,0,2
IG,67,110,19,12,0,5,1,0,0,0,3,28,245
Mgmt,2,3,0,2,0,1,1,0,0,0,0,0,9
NCA,79,32,67,104,0,2,0,0,0,0,0,4,288
OAL,83,44,6,14,0,16,1,1,0,0,2,4,171
OASHRA,3,0,0,0,0,0,0,0,0,0,0,0,3
OASP&IA,0,0,0,0,0,0,0,0,0,0,0,1,1
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0
ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
OF,25,10,1,0,0,0,0,2,0,0,0,1,39
OI&T,15,18,1,60,0,9,3,17,0,0,5,42,170
ORM,11,9,1,3,0,0,0,0,0,0,0,0,24
OSDBU,0,1,0,0,0,0,0,0,0,0,0,0,1
OSP,0,5,1,1,0,0,0,0,0,0,0,0,7
P&P,0,1,2,0,0,0,0,0,0,0,0,0,3
PA,0,0,0,0,0,0,0,0,0,0,0,1,1
SEC,8,2,0,1,0,0,0,0,0,0,0,0,11
VBA,4415,3775,97,392,0,37,70,64,0,0,19,1071,9940
VHA,7067,2974,6071,771,0,178,92,58,0,0,86,500,17797
Total,11808,7031,6273,1391,0,249,177,144,0,0,119,1665,28857
