Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
HQ,335,90,1,441,175,102,12,296,35,22,2,42,
OIG,62,19,1,140,0,0,0,0,0,0,0,0,
R01,42,39,1,58,0,0,0,0,19,20,16,24,
R02,55,18,1,89,35,27,4,49,33,24,5,57,
R03,145,21,2,177,27,32,25,44,19,19,19,19,
R04,97,14,1,43,125,56,1,159,14,9,2,16,
R05,55,15,1,85,40,35,5,49,0,0,0,0,
R06,70,17,1,101,30,27,19,45,10,10,10,10,
R07,32,25,1,159,19,19,19,19,0,0,0,0,
R08,78,21,1,109,0,0,0,0,0,0,0,0,
R09,75,21,1,106,65,32,10,98,18,16,5,20,
R0X,25,15,1,40,16,12,4,20,13,13,13,13,
Total,1071,315,13,1548,532,342,99,779,161,133,72,201,
