Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
7 U.S.C. § 608(d)(2),Information for marketing order programs that are categorized as trade secrets and commericial or financial information.,None.,1,AMS,1
7 U.S.C. § 1502(c),"Personal information provided by agricultural producer (policy information, yield data, etc.)Personal information provided by agricultural producer (policy information, yield data, etc.)",None.,5,NRCS,13
7 U.S.C. § 1502(c),"Personal information provided by agricultural producer (policy information, yield data, etc.)Personal information provided by agricultural producer (policy information, yield data, etc.)",None.,8,RMA,13
7 U.S.C. § 2018(c),"Information obtained pursuant to chapter 51 of title 7 of the United States Code, which concerns the handling of information submitted by applicants to the Supplemental Nutrition Assistance Program","Argus Leader Media v. U.S. Dep't of Agriculture, 2012 WL 4482939 (Sept. 27, 2012)",79,FNCS,79
7 U.S.C. § 2276(a)(2)(Food Security Act of 1985),"""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).",2,AMS,6
7 U.S.C. § 2276(a)(2)(Food Security Act of 1985),"""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).",2,REE,6
7 U.S.C. § 2276(a)(2)(Food Security Act of 1985),"""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""""[I]nformation furnished under a provision of law referred to in subsection (d) of this section . . . unless such information has been transformed into a statistical or aggregate form that does not allow the identification of the person who supplied particular information""","Strunk v. U.S. Dep't of Interior, 752 F. Supp. 2d, 39, 44 (D.D.C 2010).",2,RD,6
7 U.S.C. § 8791,"""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).",13,APHIS,230
7 U.S.C. § 8791,"""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).",158,FSA,230
7 U.S.C. § 8791,"""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" and certain ""geospatial information . . . maintained by the Secretary""","Ctr. for Biological Diversity v. USDA, 626 F3d. 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C.C 2009).",56,NRCS,230
