Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
FHWA,Transferred within DOT,18,18
FTA,Transferred within DOT,1,1
OIG,Transferred within DOT,3,3
OST,Transferred within DOT,62,62
OIG,N/A,0,0
OIG,Requester Address Not Provided Upon Request,1,8
OIG,Verification of Identity Not Provided,7,8
OIG,Unable to locate requester,2,2
OIG,Not applicable.,0,0
OIG,Records located were not responsive to the request,3,3
OIG,No response to still interested letter.,18,20
OIG,Administrative Closures,2,20
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Glomarization,13,20
OIG,No authorization to release records,7,20
OIG,N/A,0,0
Total,0,137,185
