Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
ADJ BDS,0,0,0,0,0,
ALJ,0,0,0,0,0,
ASP,0,0,0,0,0,
BLS,0,0,0,2,2,
CFO,0,0,0,3,3,
EBSA,2,2,0,12,16,
ETA,2,1,0,73,76,
ILAB,0,0,0,0,0,
MSHA,3,4,0,5,12,
OASAM,0,0,1,10,11,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OFCCP,0,1,0,3,4,
OIG,1,2,0,4,7,
OLMS,2,1,0,2,5,
OPA,0,0,0,0,0,
OSHA,13,89,2,73,177,
OWCP,3,1,0,40,44,
SOL,0,0,1,2,3,
VETS,0,1,0,6,7,
WB,0,0,0,0,0,
WHD,1,7,2,21,31,
Total,27,109,6,256,398,
