Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
Admin,7,9,11,5,
BVA,2,29,25,6,
C&LA,3,48,34,17,
CFM,71,71,116,26,
GC,20,121,87,54,
HRM,7,36,20,23,
IG,25,527,522,30,
Mgmt,5,29,21,13,
NCA,30,59,40,49,
OAL,39,330,321,48,
OASHRA,10,7,4,13,
OASP&IA,17,8,3,22,
ODASB,0,0,0,0,
ODASIA,3,18,1,20,
ODI,1,2,1,2,
OIT,38,219,142,115,
ORM,1,39,37,3,
OSDBU,4,27,20,11,
OSP,0,5,4,1,
P&P,1,4,2,3,
PA,8,13,11,10,
SEC,34,98,97,35,
VBA,537,2492,2650,379,
VHA,1579,25525,26267,837,
Total,2442,29716,30436,1722,
