Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
Admin,0,0,0,2,0,3,0,0,0,0,0,0,0,0,
BVA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
C&LA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CFM,0,0,7,16,3,18,0,0,0,0,0,0,0,0,
GC,0,1,1,2,31,26,0,0,0,0,0,0,0,0,
HRM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
IG,0,0,73,1,32,181,40,1,73,0,2,1,0,0,
Mgmt,0,0,0,2,1,2,0,0,0,0,0,0,0,0,
NCA,0,0,0,1,1,14,0,0,1,0,0,0,0,0,
OAL,0,2,42,87,33,98,0,0,0,0,1,0,0,0,
OASHRA,0,0,0,0,1,2,0,0,0,0,0,0,0,0,
OIT,0,2,4,7,4,29,0,0,1,0,0,0,0,0,
ORM,0,1,0,0,2,22,0,0,15,0,0,0,0,0,
OSDBU,0,0,10,4,2,12,0,0,0,0,0,0,0,0,
OSP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
PA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
SEC,0,0,0,0,19,45,0,0,1,0,0,0,0,0,
VBA,0,1,6,1,106,2306,0,15,1328,2,0,0,0,0,
VHA,3,5,3088,194,204,8864,103,4,2374,5,13,9,0,0,
Total,3,12,3231,317,440,11628,144,20,3793,7,16,10,0,0,
