Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BIS,0,7,7,0,
Census,0,2,2,0,
EDA,0,0,0,0,
ESA,0,0,0,0,
ITA,0,10,5,5,
MBDA,0,0,0,0,
NIST,0,3,3,0,
NOAA,0,9,7,2,
NTIA,0,1,1,0,
NTIS,0,0,0,0,
OIG,2,3,5,0,
OS,1,0,1,0,
PTO,0,0,0,0,
Total,3,35,31,7,
