Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
BIS,2,31,34,7,99,119,0,0,0,
Census,8,7,7,0,0,0,1,51,51,
EDA,4,8,9,0,0,0,0,0,0,
ESA,0,0,0,0,0,0,0,0,0,
ITA,27,34,46,0,0,0,0,0,0,
MBDA,0,0,0,0,0,0,0,0,0,
NIST,35,171,258,0,0,0,0,0,0,
NOAA,0,0,0,152,92,154,0,0,0,
NTIA,0,0,0,0,0,0,0,0,0,
NTIS,0,0,0,0,0,0,0,0,0,
OIG,1,52,52,0,0,0,0,0,0,
OS,4,11,7,6,93,214,0,0,0,
PTO,6,16,17,0,0,0,0,0,0,
Total,87,10,24,165,34,103,1,51,51,
