Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ACF,6,88,1,845,106,238,12,776,0,0,0,0,
AOA,0,0,0,0,5,4,1,8,0,0,0,0,
CMS,24,33,1,1262,92,178,1,3104,62,106,3,334,
OIG,1,3,1,22,81,113,21,539,0,0,0,0,
AHRQ,17,23.4,1,143,48,65.8,16,221,0,0,0,0,
CDC,20,59.54,1,820,43,103.14,3,927,221.5,199.83,23,321,
FDA,8,53.3,1,1401,124,250.2,1,1446,40,40,15,65,
HRSA,0,0,0,0,14,15,1,174,0,0,0,0,
IHS,29,28,20,36,80,79,22,136,0,0,0,0,
NIH,14,27,1,1127,0,0,0,0,0,0,0,0,
SAMHSA,3,10,0,20,60,114,20,320,0,0,0,0,
OS,0,0,0,0,39,191,1,1756,0,0,0,0,
OPHS/PSC,14,30,1,463,117,206,1,856,0,0,0,0,
Total,17,27,0,1401,92,120,0,3104,62,27,0,334,
