Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BPA,58,19,0,8,2,16,0,0,2,0,1,0,106
CBFO,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,26,6,0,9,4,12,3,0,0,6,0,0,66
EMCBC,23,6,1,13,3,6,4,0,1,2,1,0,60
GFO,177,37,1,13,0,6,7,1,8,2,1,0,253
HQ,142,245,13,126,222,75,10,9,2,9,13,0,866
ID,12,9,3,13,0,0,0,1,0,0,0,0,38
NETL,3,13,1,7,0,2,1,0,0,1,1,0,29
NNSA,105,29,1,58,8,16,4,3,2,7,0,0,233
NR,0,0,0,0,0,0,0,0,0,0,0,0,0
NRLFO,2,1,0,2,0,2,0,1,0,0,0,0,8
ORO,133,12,0,29,16,3,0,0,5,6,3,0,207
OSTI,1,0,0,2,0,0,0,3,0,0,0,0,6
ROO,39,25,2,14,0,8,2,0,1,4,0,0,95
SEPA,2,0,0,3,0,0,0,0,0,0,0,0,5
SPR,1,0,0,0,0,0,0,0,0,1,0,0,2
SRO,27,1,3,6,2,1,0,0,0,1,1,0,42
SWPA,4,0,0,2,1,0,0,0,0,0,0,0,7
WAPA,11,6,0,3,0,1,1,0,0,1,0,0,23
Total,766,409,25,308,258,148,32,18,21,40,21,0,2046
