Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
8 U.S.C. 1202(f) (Immigration and Nationality Act,Certain records pertaining to the issuance or refusal of visas to enter the United States,"Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167, 177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983); Holy Spirit Ass'n for Unification of World Christianity, Inc. v. U.S. Dep't of State, 526 F. Supp. 1022, 1031 (S.D.N.Y. 1981).",6420,DoS,6420
10 U.S.C. 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RBD-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr.19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).",4,DoS,4
22 U.S.C. 2778(e) (Arms Export Control Act),Certain information pertaining to export license applications,"Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).",4,DoS,4
41 U.S.C. 253b(m)(1) (currently at 41 U.S.C. 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,DoS,1
42 U.S.C. 2162 (Atomic Energy Act),"""Restricted Data"" pertaining to atomic weapons and special nuclear material","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom., Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1992).",1,DoS,1
49 U.S.C. 40119(b) (Federal Aviation Act),"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",2,DoS,2
50 U.S.C. 402 note (National Security Agency Act of 1959),Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. V. NSA, 678 F.3d 926, 931 (D.C. Cir. 2012); Houghton v. NSA, 378 F. App'x 235, 238-39 (3d Cir. 2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009); Larson v. Dep't of State, 565 F.3d 857,868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009).",3,DoS,3
50 U.S.C. 403g (Central Intelligence Act of 1949),"Intelligence sources and methods; certain information pertaining to CIA employees, specifically:  ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency.""","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. Cia, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F.3d 205 (3d Cir 2008).",14,DoS,14
50 U.S.C. 403-1(i)(1) (National Security Act of 1947,Intelligence sources and methods.,"CIA v. Sims, 471 U.S. 159, 167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007).",3,DoS,3
Pub. L. No. 99-93 505 (Iran Claims),Records regarding arbitration of claims before the Iran-United States Claims Tribunal,No,2,DoS,2
"19 U.S.C. 2605(h), 2605(i) (Convention on Cultural Property Implementation Act)","Certain records pertaining to Cultural Property Advisory Committee proceedings where ""it is determined by the President or his designee that the disclosure of matters involved in the Committee's proceedings would compromise the Government's negotiating objectives or [certain] bargaining positions""; certain ""information (including trade secrets and commercial or financial information which is privileged or confidential) submitted in confidence by the private sector to officers or employees of the United States or to the [Cultural Property Advisory] Committee","Ancient Coin Collectors Guild v. U.S. Dep't of State, 641 F.3d 504, 511 (D.C. Cir. 2011) (19 U.S.C. 2605(h)); Ancient Coin Collectors Guild v. U.S. Dep't of State, 866 F. Supp. 2d 28, 32 (D.D.C. 2012) (19 U.S.C. 2605(i)).",1,DoS,1
