Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ACF,1133,296,1538,416,
AOA,27,16,27,16,
CMS,46586,52116,51665,53328,
OIG,563,729,569,737,
AHRQ,57,77,61,81,
CDC,1207,1128,1372,1088,
FDA,9690,9301,9879,10602,
HRSA,369,332,369,330,
IHS,98,100,94,104,
NIH,1253,1198,1282,1204,
SAMHSA,216,166,143,152,
OS,2144,1396,2306,1592,
OASH,496,576,555,529,
Total,63839,67431,69860,70179,
