Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",1,FAA,1
41 U.S.C. § 2102(a),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).",1,NHTSA,1
16 U.S.C. § 470w-3,National historic preservation information,N/A,1,FHWA,1
49 U.S.C. § 1114(f),Foreign aircraft accident investigation information,N/A,1,FAA,1
49 U.S.C. § 40123(a),Aviation Safety Action Program voluntarily submitted information,N/A,24,FAA,24
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",2,NHTSA,3
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",1,OST,3
49 U.S.C. § 40119(b),"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",13,FAA,158
49 U.S.C. § 40119(b),"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",140,FMCSA,158
49 U.S.C. § 40119(b),"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",2,OIG,158
49 U.S.C. § 40119(b),"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",3,PHMSA,158
49 U.S.C. § 40110(e),Contractor bid or proposal information submitted to the FAA that are not incorporated into the contract,N/A,3,FAA,3
49 U.S.C. § 31105(h)(1),Names of certain motor carrier employees,N/A,106,FMCSA,106
23 U.S.C. § 403(e),Identities of subjects of traffic accidents,N/A,1,FMCSA,1
26 U.S.C. § 6103(a),"Certain tax return information, to include Taxpayer Identification Numbers of third parties","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Leonard v. U.S. Dep't of Treasury, 590 F. App'x. 141, 143-44 (3d Cir. 2014) (per curiam); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105).",1,OST,1
