Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ALJ,10,5,0,0,0,0,0,0,0,0,0,0,0,15,
ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
CFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EBSA,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
ETA,8,5,2,0,0,0,0,1,0,0,0,1,0,17,
ILAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MSHA,12,5,7,3,0,0,0,0,1,0,0,0,1,29,
OASAM,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
OCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OFCCP,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
OIG,3,2,1,0,0,0,0,0,0,0,0,0,0,6,
OLMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSHA,82,7,2,3,1,0,0,0,0,0,1,0,0,96,
OWCP,1,1,0,1,0,0,0,0,0,0,0,0,0,3,
SOL,2,0,1,0,0,0,0,0,0,0,0,0,0,3,
VETS,6,1,1,0,0,0,0,0,0,0,0,0,0,8,
WB,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
WHD,20,2,1,0,0,0,0,0,0,0,0,0,0,23,
Total,155,29,15,7,2,0,0,1,1,0,1,1,1,213,
