Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
ADJ BDS,0,7,5,15.1,
ALJ,8,6,5.5,8.7,
ASP,0,20,116.5,325.6,
BLS,0,4,15.5,15.5,
CFO,0,9,20,62.9,
EBSA,0,18,19,26.8,
ETA,22,112,10,13.5,
EXEC SEC,0,1,14,14,
ILAB,1,7,18.5,18.5,
MSHA,39,14,11,17.9,
OASAM,8,66,32,56,
OCIA,4,1,23,23.3,
ODEP,0,0,0,0,
OFCCP,5,31,43,42.3,
OIG,18,1,14,8,
OLMS,3,26,2,10.8,
OPA,0,0,0,0,
OSEC,20,7,109,95.8,
OSHA,180,106,7,17.9,
OWCP,16,34,27,35.4,
SOL,4,20,38,66.9,
VETS,7,5,2,18.7,
WB,0,11,44,44,
WHD,40,97,18,44.3,
Total,375,603,N/A,N/A,
