Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
Office of the AG,9,16,5,8,7,4,0,6,3,2,18,8,53,139,
Office of the DAG,3,11,4,5,3,10,1,5,5,3,15,7,28,100,
Office of the Assoc. AG,1,3,1,2,2,3,0,4,0,2,6,2,9,35,
Antitrust,11,9,9,1,1,2,3,0,0,1,1,0,10,48,
ATF,341,203,83,62,40,30,11,9,11,13,14,11,5,833,
BOP,183,130,108,127,72,34,35,28,16,20,99,64,19,935,
Civil,152,32,21,15,14,7,7,11,5,5,21,7,21,318,
Civil Rights,1,1,17,15,9,11,3,5,2,0,39,44,34,181,
COPS,59,3,1,0,0,0,0,0,0,0,0,0,0,63,
Criminal,34,35,19,21,17,13,10,4,3,5,11,8,5,185,
CRS,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
DEA,287,175,158,140,97,76,64,51,48,37,58,20,15,1226,
ENRD,2,0,3,0,3,1,0,2,2,1,1,0,0,15,
EOIR,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
EOUSA,290,869,403,346,257,198,151,106,96,74,223,67,127,3207,
EOUST,12,6,2,0,0,0,1,0,0,0,1,0,0,22,
FBI,15,17,23,30,23,31,28,27,35,35,130,77,77,548,
FCSC,16,2,0,0,0,0,1,0,0,0,0,0,0,19,
JMD,15,7,4,5,2,3,2,1,1,1,5,3,0,49,
NSD,1,0,2,0,3,0,1,1,3,1,2,0,0,14,
OCDETF,4,5,2,1,0,0,0,0,0,0,0,0,0,12,
OIG,1,53,59,64,30,22,10,4,5,0,1,0,2,251,
OIP,4,1,0,2,0,2,0,0,0,0,5,2,3,19,
OJP,30,37,41,19,12,10,8,5,3,3,7,2,5,182,
OLA,4,5,1,5,2,2,0,3,1,1,8,6,10,48,
OLC,3,1,0,1,0,0,0,1,3,0,4,1,1,15,
OLP,13,6,2,3,1,1,0,1,0,0,3,3,3,36,
OPR,3,0,2,4,1,1,2,0,2,0,1,3,7,26,
OSG,0,2,0,0,0,0,0,1,0,0,1,1,7,12,
OVW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pardon Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Public Affairs,1,2,1,1,1,2,0,1,0,0,5,2,3,19,
PRAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TAX,5,2,4,1,0,1,0,2,1,0,0,0,0,16,
USMS,1,0,1,1,2,0,0,2,0,0,0,1,0,8,
USNCB,7,1,0,0,0,0,0,0,0,0,1,0,0,9,
USPC,46,18,12,11,6,3,0,1,1,0,0,1,0,99,
Total,1561,1653,988,890,605,467,338,281,246,204,680,340,444,8697,
