Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BEP,0,1,1,0,
BPD,0,0,0,0,
DO,0,21,15,6,
FinCEN,0,1,1,0,
FMS,0,53,52,1,
IRS,0,17,17,0,
MINT,0,1,1,0,
OCC,0,0,0,0,
OTS,0,0,0,0,
TIGTA,0,3,2,1,
TTB,0,0,0,0,
Total,0,97,89,8,
