Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
Office of the AG,251,311,161,254,
Office of the DAG,137,206,92,141,
Office of the Assoc. AG,76,112,56,102,
Antitrust,102,121,97,134,
ATF,1282,1465,744,1146,
BOP,12707,8004,13189,8128,
Civil,354,306,366,310,
Civil Rights,340,605,348,562,
COPS,57,88,57,85,
Criminal,665,796,678,834,
CRS,11,19,9,19,
DEA,1578,1675,1551,1677,
ENRD,79,106,90,104,
EOIR,26614,31513,25170,31764,
EOUSA,3500,3821,2729,3874,
EOUST,66,96,63,102,
FBI,11696,12931,12705,13405,
FCSC,11,39,10,40,
JMD,133,116,128,88,
NSD,196,198,223,175,
OCDETF,37,62,41,57,
OIG,271,330,259,347,
OIP,856,852,859,812,
OJP,364,413,325,356,
OLA,61,134,50,92,
OLC,91,111,86,97,
OLP,35,83,37,77,
OPR,89,115,111,120,
OSG,66,107,61,92,
OVW,87,104,75,114,
Pardon Attorney,85,91,58,97,
Public Affairs,18,64,10,50,
PRAO,12,31,14,31,
TAX,79,136,78,127,
USMS,1929,1996,1894,1766,
USNCB,194,207,198,201,
USPC,404,419,404,445,
Total,64533,67783,63026,67825,
