Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
Admin,Date of Receipt,,,,2014-09-23,2014-09-10,2014-06-30,2014-06-04,2014-02-06,2013-10-28,2013-03-13
Admin,Number of Days Pending,,,,5,14,64,82,164,232,391
BVA,Date of Receipt,,,,,,,,,,2014-09-04
BVA,Number of Days Pending,,,,,,,,,,18
C&LA,Date of Receipt,,,,,,,,2014-08-13,2014-08-13,2014-07-23
C&LA,Number of Days Pending,,,,,,,,33,33,48
CFM,Date of Receipt,2013-05-10,2013-03-28,2013-03-18,2013-02-22,2013-01-23,2013-01-14,2013-01-11,2012-11-01,2012-10-17,2012-09-20
CFM,Number of Days Pending,349,380,388,404,425,431,432,479,490,508
GC,Date of Receipt,2014-07-16,2014-07-15,2014-06-03,2014-05-27,2014-05-20,2014-05-14,2014-05-12,2014-04-22,2014-04-07,2014-02-26
GC,Number of Days Pending,53,54,83,88,92,96,98,112,123,151
HRM,Date of Receipt,,,,2014-09-29,2014-08-20,2014-07-07,2014-06-05,2014-05-21,2014-05-06,2012-08-21
HRM,Number of Days Pending,,,,1,28,60,81,91,102,529
IG,Date of Receipt,2014-09-09,2014-09-08,2014-09-05,2014-08-15,2014-07-15,2014-07-14,2014-07-08,2014-05-29,2014-05-22,2014-05-21
IG,Number of Days Pending,15,16,17,31,54,55,59,86,90,91
Mgmt,Date of Receipt,,,,,,2014-09-17,2014-07-01,2014-06-26,2014-03-18,2013-02-27
Mgmt,Number of Days Pending,,,,,,9,63,66,137,401
NCA,Date of Receipt,2014-04-15,2014-03-17,2014-03-13,2014-03-13,2014-03-13,2014-01-29,2014-01-29,2014-01-15,2014-01-15,2013-07-29
NCA,Number of Days Pending,117,138,140,140,140,170,170,179,179,295
OAL,Date of Receipt,2014-07-01,2014-06-23,2014-06-20,2014-06-04,2014-06-04,2014-05-15,2014-05-06,2014-03-11,2014-01-03,2013-11-19
OAL,Number of Days Pending,63,69,70,82,82,95,102,142,187,217
OASHRA,Date of Receipt,2014-08-27,2014-06-24,2014-05-21,2014-02-12,2013-11-25,2013-09-13,2013-07-18,2013-04-18,2012-10-16,2012-09-20
OASHRA,Number of Days Pending,23,68,91,160,213,262,302,365,491,508
OASP&IA,Date of Receipt,2013-11-01,2013-10-29,2013-08-09,2012-11-28,2012-08-03,2012-05-14,2012-03-15,2011-11-15,2011-09-29,2011-09-13
OASP&IA,Number of Days Pending,228,231,286,462,541,598,640,722,753,765
ODASIA,Date of Receipt,,,,,,,,2014-09-03,2013-08-15,2012-01-20
ODASIA,Number of Days Pending,,,,,,,,19,282,678
ODI,Date of Receipt,,,,,,,,,,2014-01-17
ODI,Number of Days Pending,,,,,,,,,,177
OF,Date of Receipt,,,,,,,,,,2014-09-08
OF,Number of Days Pending,,,,,,,,,,16
OIT,Date of Receipt,2013-10-02,2013-09-25,2013-09-19,2013-09-19,2013-08-02,2013-07-12,2013-06-19,2013-06-19,2013-06-06,2012-08-10
OIT,Number of Days Pending,249,254,258,258,291,306,322,322,331,536
ORM,Date of Receipt,,,,,,,,,,2014-09-22
ORM,Number of Days Pending,,,,,,,,,,6
OSDBU,Date of Receipt,,,,,,,2014-09-15,2014-08-25,2014-06-11,2012-08-16
OSDBU,Number of Days Pending,,,,,,,11,25,77,532
P&P,Date of Receipt,,,,,,,,,,2014-03-04
P&P,Number of Days Pending,,,,,,,,,,147
PA,Date of Receipt,,,2014-08-15,2014-08-07,2014-07-24,2014-07-08,2014-07-02,2014-05-01,2014-04-08,2013-10-23
PA,Number of Days Pending,,,31,37,47,59,62,105,122,235
SEC,Date of Receipt,2014-06-04,2014-06-04,2014-06-03,2014-06-03,2014-05-30,2014-04-22,2014-04-09,2014-04-07,2014-03-18,2014-01-17
SEC,Number of Days Pending,82,82,83,83,85,112,121,123,137,177
VBA,Date of Receipt,2012-06-14,2012-06-13,2012-05-21,2012-05-02,2012-04-10,2012-03-14,2012-02-28,2012-02-16,2012-02-06,2012-02-02
VBA,Number of Days Pending,576,577,593,606,622,641,652,659,667,669
VHA,Date of Receipt,2013-06-21,2013-06-05,2013-05-29,2013-05-23,2013-05-16,2013-05-14,2013-04-15,2013-03-22,2012-09-27,2012-05-08
VHA,Number of Days Pending,320,332,337,340,345,347,368,384,503,602
