Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FAA,4856,1199,56,1086,10,376,93,3,63,11,0,0,7753
FHWA,227,89,7,68,4,12,12,6,3,8,8,19,463
FMCSA,327,760,2,122,0,132,5,14,2,11,56,0,1431
FRA,176,103,2,86,2,14,0,0,0,4,9,0,396
FTA,98,86,7,59,0,5,5,0,0,0,5,0,265
MARAD,36,36,0,19,0,7,0,0,0,1,1,0,100
NHTSA,62,60,14,38,9,7,12,5,2,2,5,9,225
OIG,14,34,11,27,0,6,0,0,4,4,1,9,110
OST,66,78,0,39,0,9,0,1,1,3,7,83,287
PHMSA,49,20,0,37,1,37,2,0,0,0,4,4,154
RITA,6,5,1,6,0,0,0,0,0,0,0,0,18
SLSDC,2,3,0,6,0,0,0,0,0,0,0,0,11
Total,5919,2473,100,1593,26,605,129,29,75,44,96,124,11213
