Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
39 U.S.C. § 410(c )(1),Records relating to names and addresses of postal customersRecords relating to names and addresses of postal customers,N/A,428,PS,430
39 U.S.C. § 410(c )(1),Records relating to names and addresses of postal customersRecords relating to names and addresses of postal customers,N/A,2,OIG,430
39 U.S.C. § 410(c )(2),Records relating to commercial information that is proprietary to the Postal ServiceRecords relating to commercial information that is proprietary to the Postal ServiceRecords relating to commercial information that is proprietary to the Postal Service,"Wickwire Gavin, P.C. v. USPS, 356 F. 3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL. 1876682, at *5-9 (S.D. III, July 5, 2006).",114,PS,123
39 U.S.C. § 410(c )(2),Records relating to commercial information that is proprietary to the Postal ServiceRecords relating to commercial information that is proprietary to the Postal ServiceRecords relating to commercial information that is proprietary to the Postal Service,"Wickwire Gavin, P.C. v. USPS, 356 F. 3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL. 1876682, at *5-9 (S.D. III, July 5, 2006).",4,PIS,123
39 U.S.C. § 410(c )(2),Records relating to commercial information that is proprietary to the Postal ServiceRecords relating to commercial information that is proprietary to the Postal ServiceRecords relating to commercial information that is proprietary to the Postal Service,"Wickwire Gavin, P.C. v. USPS, 356 F. 3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); Reid v. USPS, No. 05-294, 2006 WL. 1876682, at *5-9 (S.D. III, July 5, 2006).",5,OIG,123
39 U.S.C. § 410 (c )(3),Records containing information prepared for use in the negotiation of collective bargaining agreements under 39 U.S.C. Chapter 12 and minutes or notes kept during the negotiating sessions,N/A,1,PS,1
39 U.S.C. § 410 (c )(6),"Investigatory files, whether or not considered closed, compiled for law enforcement purposes except to the extent available by law to a party other than the Postal Service",N/A,2,PS,2
39 U.S.C. § 412,Records containing lists of postal customers,N/A,16,PS,16
18 U.S.C. § 2510 (Title III of the Omnibus Crime Control and Safe Streets Act),"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS  22175 (D.C. Cir. Sept 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F .2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6",1,PS,1
18 U.S.C. § 1461,Mail matter that is obscene or crime-inciting,N/A,2,PIS,2
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedingsCertain records pertaining to grand jury proceedings,N/A,1,PS,7
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedingsCertain records pertaining to grand jury proceedings,N/A,6,PIS,7
"Pub. L. No. 95-452, 92 Stat. 1101",Identities of employees that have submitted complaints and or provided information during the course of an OIG investigation,N/A,4,OIG,4
