Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
FAA,2717,1487,73,2226,19,490,126,17,36,11,0,0,7202
FHWA,241,91,3,14,0,10,9,0,0,56,1,47,472
FMCSA,332,662,4,3,0,54,1,1,20,0,5,0,1082
FRA,213,70,3,63,5,34,1,0,0,0,3,0,392
FTA,69,68,2,42,0,6,0,0,2,5,0,2,196
MARAD,45,8,4,46,0,9,0,0,0,1,0,20,133
NHTSA,106,68,0,10,0,0,3,0,0,0,0,3,190
OIG,3,40,0,15,1,16,0,0,1,18,0,0,94
OST,85,83,5,90,9,38,0,0,0,8,0,90,408
PHMSA,93,22,4,0,0,27,0,0,0,10,10,2,168
RITA,25,9,2,6,3,0,0,0,0,0,0,0,45
SLSDC,9,5,0,6,0,0,0,0,0,0,0,0,20
Total,3938,2613,100,2521,37,684,140,18,59,109,19,164,10402
