Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
Office of the AG,3,7,2,6,2,1,0,2,0,2,5,10,21,61,
Office of the DAG,1,4,6,1,1,3,0,3,1,0,3,3,20,46,
Office of the Assoc. AG,1,1,0,0,0,0,0,0,1,0,1,3,7,14,
Antitrust,5,8,4,5,2,3,0,1,1,1,3,1,15,49,
ATF,23,91,84,82,65,45,32,26,17,21,47,45,2,580,
BOP,523,258,195,188,125,66,51,22,28,13,103,100,66,1738,
Civil,146,23,10,7,7,9,4,5,6,4,17,2,8,248,
Civil Rights,67,9,9,5,3,2,1,1,2,0,4,4,4,111,
COPS,54,3,0,0,0,0,0,0,0,0,0,0,0,57,
Criminal,10,10,19,12,8,13,11,8,6,12,47,23,40,219,
CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DEA,295,274,112,104,43,32,23,15,11,11,32,13,20,985,
ENRD,0,0,2,1,0,1,3,3,0,2,4,0,1,17,
EOIR,1,6,4,1,0,0,0,0,0,0,0,0,0,12,
EOUSA,358,186,137,100,106,98,106,87,64,71,163,85,91,1652,
EOUST,5,5,2,0,2,1,0,0,0,1,0,0,0,16,
FBI,16,33,32,84,157,166,143,159,163,148,555,209,154,2019,
FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JMD,16,20,16,8,6,2,2,1,0,1,5,0,0,77,
NSD,0,2,1,1,1,0,0,0,0,1,1,2,5,14,
OCDETF,0,5,4,1,2,1,0,0,0,0,0,0,1,14,
OIG,6,39,37,44,23,10,10,9,1,3,11,1,6,200,
OIP,1,10,0,1,0,0,0,0,0,1,3,1,4,21,
OJP,18,32,15,10,5,5,3,6,2,3,7,3,4,113,
OLA,1,2,0,2,0,1,0,1,0,0,6,2,9,24,
OLC,5,2,0,0,1,2,1,1,2,1,3,3,8,29,
OLP,0,1,1,0,0,0,0,1,0,0,1,0,2,6,
OPR,1,0,0,1,1,0,0,0,1,0,2,1,15,22,
OSG,0,0,0,1,0,1,1,0,0,0,0,0,1,4,
OVW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pardon Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Public Affairs,1,0,0,0,0,0,0,0,0,0,1,1,4,7,
PRAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TAX,10,2,4,0,3,0,2,3,0,0,2,0,0,26,
USMS,4,2,0,0,0,1,1,3,1,1,1,3,1,18,
USNCB,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
USPC,31,19,11,15,14,3,16,6,0,2,3,0,0,120,
Total,1602,1055,707,680,577,466,410,363,307,299,1030,515,509,8520,
