Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
OCTAE,0,0,0,0,
OSHS,1,0,0,1,
FSA,10,11,6,15,
IES,1,0,0,1,
IES-NAGB,0,0,0,0,
M,5,3,1,7,
OCFO,0,0,0,0,
OCFO-CAM,1,0,0,1,
OCIO,1,0,0,1,
OCO,0,0,0,0,
OCR,3,4,1,6,
OCR-1 Boston,0,2,0,2,
OCR-2 New York,2,3,1,4,
OCR-3 Philadelphia,3,1,2,2,
OCR-4 Atlanta,1,3,1,3,
OCR-5 Chicago,4,6,4,6,
OCR-6 Dallas,1,3,0,4,
OCR-7 Kansas City,0,0,0,0,
OCR-8 Denver,0,0,0,0,
OCR-9 San Francisco,2,1,0,3,
OCR-10 Seattle,1,4,1,4,
OCR-12 Cleveland,1,2,0,3,
OCR-Metro D.C.,3,1,0,4,
ODS,0,0,0,0,
OESE,0,1,0,1,
OGC,1,0,0,1,
OIG,3,8,9,2,
OII,1,0,0,1,
OLCA,0,0,0,0,
OM,0,0,0,0,
OM-PIRMS,8,5,1,12,
OPE,1,0,0,1,
OPEPD,0,0,0,0,
OS,0,0,0,0,
OSERS,1,0,0,1,
OUS,0,0,0,0,
Total,55,58,27,86,
