Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,0,0,0,0,
ALJ,0,1,0,0,
ASP,0,0,0,0,
BLS,1,2,1,2,
CFO,0,2,0,3,
EBSA,6,13,9,16,
ETA,52,59,43,76,
ILAB,0,0,0,0,
MSHA,13,20,13,12,
OASAM,6,10,7,11,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,5,4,8,4,
OIG,3,5,1,7,
OLMS,3,11,6,5,
OPA,0,0,0,0,
OSHA,147,148,173,177,
OWCP,59,41,54,44,
SOL,0,1,0,3,
VETS,10,7,10,7,
WB,0,0,0,0,
WHD,20,29,17,31,
Total,325,353,342,398,
