Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
Office of the AG,149,264,156,237,
Office of the DAG,66,117,88,98,
Office of the Assoc. AG,27,48,25,45,
Antitrust,101,98,120,93,
ATF,1606,1525,1643,1428,
BOP,14497,15723,14908,15341,
Civil,287,327,267,300,
Civil Rights,430,475,421,442,
COPS,51,66,51,66,
Criminal,918,921,1422,1061,
CRS,11,7,11,7,
DEA,1689,1518,1301,1784,
ENRD,104,75,112,76,
EOIR,13236,14497,13580,14259,
EOUSA,4210,4686,4578,4609,
EOUST,51,62,41,83,
FBI,17241,15664,17717,15195,
FCSC,15,25,15,25,
JMD,308,507,311,467,
NDIC,66,91,65,87,
NSD,217,243,174,158,
ODR,13,7,13,7,
OFDT,55,70,53,71,
OIG,213,219,217,222,
OIP,487,390,494,392,
OIPL,10,21,8,18,
OJP,350,381,326,371,
OLA,70,127,76,63,
OLC,57,79,65,52,
OLP,80,89,97,90,
OPR,81,109,78,113,
OSG,143,153,148,160,
OVW,35,44,36,44,
Pardon Attorney,78,98,70,104,
Public Affairs,15,47,12,45,
PRAO,15,17,16,16,
TAX,196,146,197,133,
USMS,1416,1488,1406,1490,
USNCB,219,204,219,177,
USPC,800,763,734,788,
Total,59613,61391,61271,60217,
