Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
ADJ BDS,9,0,0,5,0,2,1,0,0,0,0,0,17
ALJ,126,19,2,20,4,2,0,1,0,4,6,4,188
ASP,1,0,0,26,0,1,0,0,0,6,13,6,53
BLS,9,9,0,22,0,0,0,0,0,2,0,2,44
CFO,3,3,0,15,0,1,0,0,0,27,0,0,49
EBSA,155,87,15,224,16,19,3,3,1,9,11,7,550
ETA,572,512,14,862,237,34,66,18,109,48,58,0,2530
EXEC SEC,0,0,0,0,0,0,0,0,0,2,0,79,81
ILAB,8,1,0,10,0,1,0,0,0,4,0,0,24
MSHA,754,936,94,135,0,65,23,4,0,7,37,54,2109
OASAM,78,54,7,38,1,18,0,1,2,34,2,3,238
OCIA,12,4,3,16,0,0,0,0,0,3,1,0,39
ODEP,0,0,3,64,0,0,0,1,0,3,0,0,71
OFCCP,47,83,10,107,30,9,38,4,4,12,17,0,361
OIG,15,23,4,14,6,0,0,0,2,2,0,3,69
OLMS,4,22,13,27,4,2,0,0,5,0,1,1,79
OPA,0,0,15,13,0,0,0,0,0,0,0,0,28
OSEC,2,8,0,6,0,0,0,0,0,0,0,3,19
OSHA,625,4265,1039,1687,184,180,56,83,31,65,285,452,8952
OWCP,168,34,23,106,0,3,10,7,7,12,20,20,410
SOL,24,24,2,34,1,8,2,1,1,17,3,8,125
VETS,128,102,4,152,3,10,0,1,1,10,4,64,479
WB,0,0,0,7,0,0,0,0,0,0,0,1,8
WHD,129,1233,255,770,10,56,0,1,12,7,159,69,2701
Total,2869,7419,1503,4360,496,411,199,125,175,274,617,776,19224
