Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
ADJ BDS,1,2,63,44.3,1,
ALJ,10,3,2,7.1,11,
ASP,0,8,1039,740,0,
BLS,1,0,16,16,0,
CFO,0,3,39,39,1,
EBSA,7,16,6.5,21.4,12,
ETA,3,73,13.5,26.1,33,
EXEC SEC,0,0,0,0,0,
ILAB,0,4,39,47.8,1,
MSHA,32,17,8,19.2,30,
OASAM,0,30,43,84.9,1,
OCIA,1,3,57,67.3,0,
ODEP,0,1,0,0,0,
OFCCP,0,8,28,44,1,
OIG,1,2,57,25,1,
OLMS,2,4,77.5,72.5,1,
OPA,2,1,1303,879,0,
OSEC,2,7,42,135.6,0,
OSHA,74,92,4,14.7,107,
OWCP,0,24,53,201.3,5,
SOL,0,5,57.5,146.5,1,
VETS,2,6,4,8.5,4,
WB,0,3,101,70.7,1,
WHD,33,71,20.5,27.7,36,
Total,171,383,N/A,N/A,247,
