Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
Office of the AG,27,110,111.96,155,223,276.14,31,118,201.87
Office of the DAG,15,110,137.4,115,169,261.92,25,114,165.8
Office of the Assoc. AG,6,68.5,88.5,30,93,121.17,10,103,149.6
Antitrust,2,5,5,32,279,284.16,0,,
ATF,0,,,115,17,40.59,0,,
BOP,537,11,29.25,278,52,63.83,0,,
Civil,38,31.5,62.13,17,587,486.47,0,,
Civil Rights,41,13,15.8,168,169,213.07,0,,
Criminal,20,4,20.1,45,47,63.42,2,48,48
DEA,0,,,758,76,107.11,10,38,64.7
ENRD,4,10,27,3,50,52.33,0,,
EOIR,1468,10,18.78,43,119,136.3,0,,
EOUSA,0,,,957,106,194.5,2,294,294
EOUST,0,,,4,8,9.5,0,,
FBI,853,33,61.59,410,122,154.5,22,178,182.77
JMD,0,,,11,72,105.82,0,,
NDIC,2,60.5,60.5,2,51,50.5,0,,
NSD,6,11,25.83,23,125,267.7,1,220,220
OCDETF,1,6,6,0,,,0,,
ODR,1,10,10,0,,,0,,
OFDT,2,57,57,0,,,0,,
OIG,0,,,9,64,64.22,0,,
OIP,21,99,145.48,8,436,376.25,0,,
OIPL,2,40,40,1,231,231,0,,
OJP,4,6,6,36,116,147.83,0,,
OLA,4,5.5,33.25,43,134,202.33,8,86,104.63
OLC,4,236,230.25,23,392,344.48,8,71,94.5
OLP,0,,,9,123,143.78,2,172,172
OPR,4,28.5,31.25,19,166,212.16,0,,
OSG,3,68,90,11,298,258.18,1,249,249
Public Affairs,1,5,5,12,123,116.92,2,172,171.5
TAX,0,,,1,74,74,0,,
USMS,77,14,27.6,0,,,0,,
USNCB,2,6,6,8,149,149.13,0,,
USPC,7,6,26,18,77.5,89.06,0,,
Total,3152,13,36,3364,99,160,124,112,161
