Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
FAA,83,49,83,60,
FHWA,13,19,16,27,
FMCSA,3,3,4,3,
FRA,5,1,4,1,
FTA,3,5,1,6,
MARAD,3,3,4,2,
NHTSA,9,9,9,9,
OIG,6,0,5,2,
OST,4,6,4,5,
PHMSA,0,3,0,3,
RITA,1,1,0,2,
SLSDC,0,0,0,0,
Total,130,99,130,120,
