Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
HQ,1162878,59145.86,1222023.86,16861.72,1.45%,
OIG,163905,0,163905,694.44,0.42%,
R01,107421,0,107421,692.29,0.64%,
R02,214842,0,214842,4708.42,2.19%,
R03,193359,3394.05,196753.05,1492.97,0.77%,
R04,365231,0,365231,4948.84,1.35%,
R05,107421,0,107421,1332.35,1.24%,
R06,107421,0,107421,1212.95,1.13%,
R07,80566,0,80566,2234.81,2.77%,
R08,80566,0,80566,0,0.0%,
R09,322263,0,322263,1949.26,0.6%,
R0X,162154,0,162154,1042.57,0.64%,
Total,3068027,62540,3130567,37171,N/A,
