Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BEP,0,0,0,0,
BPD,0,0,0,0,
CFPB,0,2,2,0,
DO,19,38,40,17,
FinCEN,0,10,10,0,
FMS,2,63,57,8,
IRS,9,206,212,3,
MINT,0,0,0,0,
OCC,0,0,0,0,
TIGTA,0,4,4,0,
TTB,0,1,1,0,
Total,30,324,326,28,
