Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ADJ BDS,0,0,0,0,
ALJ,0,1,1,0,
ASP,0,0,0,0,
BLS,0,1,1,0,
CFO,0,0,0,0,
EBSA,0,0,0,0,
ETA,0,1,1,0,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,0,0,0,0,
OASAM,0,0,0,0,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,0,0,0,0,
OIG,0,0,0,0,
OLMS,0,2,2,0,
OPA,0,0,0,0,
OSEC,0,1,1,0,
OSHA,1,57,57,1,
OWCP,1,0,1,0,
SOL,0,0,0,0,
VETS,2,0,2,0,
WB,0,0,0,0,
WHD,1,20,19,2,
Total,5,83,85,3,
