Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
FSA,Date of Receipt,2014-03-27,2014-03-13,2014-03-07,2013-08-01,2013-06-04,2013-04-25,2013-04-25,2010-11-26,2010-10-28,2009-05-05
FSA,Number of Days Pending,130,140,144,292,346,360,360,965,973,1357
IES,Date of Receipt,,,,,,,,,,2013-04-25
IES,Number of Days Pending,,,,,,,,,,333
M,Date of Receipt,,,,2014-06-13,2014-06-11,2014-03-24,2013-09-10,2012-09-01,2012-07-10,2012-07-10
M,Number of Days Pending,,,,75,77,133,265,520,559,559
OCFO-CAM,Date of Receipt,,,,,,,,,,2013-06-04
OCFO-CAM,Number of Days Pending,,,,,,,,,,346
OCIO,Date of Receipt,,,,,,,,,,2011-01-12
OCIO,Number of Days Pending,,,,,,,,,,934
OCR,Date of Receipt,,,,,2014-04-10,2014-01-29,2014-01-28,2013-12-19,2013-09-23,2013-08-02
OCR,Number of Days Pending,,,,,120,170,171,196,255,291
OCR-1 Boston,Date of Receipt,,,,,,,,,2014-06-23,2014-05-30
OCR-1 Boston,Number of Days Pending,,,,,,,,,72,88
OCR-2 New York,Date of Receipt,,,,,,,2014-08-23,2014-07-14,2014-05-02,2013-06-05
OCR-2 New York,Number of Days Pending,,,,,,,25,55,104,280
OCR-3 Philadelphia,Date of Receipt,,,,,,,,,2014-05-14,2012-04-19
OCR-3 Philadelphia,Number of Days Pending,,,,,,,,,74,630
OCR-4 Atlanta,Date of Receipt,,,,,,,,2014-09-26,2014-06-23,2014-02-12
OCR-4 Atlanta,Number of Days Pending,,,,,,,,2,69,160
OCR-5 Chicago,Date of Receipt,,,,,2014-09-03,2014-08-22,2014-08-22,2014-06-11,2014-05-01,2014-04-14
OCR-5 Chicago,Number of Days Pending,,,,,20,27,27,75,105,118
OCR-6 Dallas,Date of Receipt,,,,,,,2014-09-26,2014-09-03,2014-08-23,2013-03-18
OCR-6 Dallas,Number of Days Pending,,,,,,,2,20,26,352
OCR-9 San Francisco,Date of Receipt,,,,,,,,2014-01-27,2013-09-23,2013-09-23
OCR-9 San Francisco,Number of Days Pending,,,,,,,,167,255,255
OCR-10 Seattle,Date of Receipt,,,,,,,2014-06-23,2014-01-27,2014-01-17,2012-09-24
OCR-10 Seattle,Number of Days Pending,,,,,,,69,167,177,506
OCR-12 Cleveland,Date of Receipt,,,,,,,,2014-08-23,2014-04-10,2013-08-08
OCR-12 Cleveland,Number of Days Pending,,,,,,,,26,120,286
OCR-Metro D.C.,Date of Receipt,,,,,,,2014-06-27,2013-08-05,2013-06-12,2013-03-07
OCR-Metro D.C.,Number of Days Pending,,,,,,,64,290,327,395
OESE,Date of Receipt,,,,,,,,,,2014-09-03
OESE,Number of Days Pending,,,,,,,,,,20
OGC,Date of Receipt,,,,,,,,,,2012-09-27
OGC,Number of Days Pending,,,,,,,,,,503
OIG,Date of Receipt,,,,,,,,,2013-09-18,2013-03-19
OIG,Number of Days Pending,,,,,,,,,259,387
OII,Date of Receipt,,,,,,,,,,2012-11-19
OII,Number of Days Pending,,,,,,,,,,468
OM-PIRMS,Date of Receipt,2014-05-02,2014-01-17,2013-08-02,2013-08-02,2013-08-02,2013-08-01,2011-03-14,2011-02-11,2011-01-18,2010-12-15
OM-PIRMS,Number of Days Pending,104,177,291,291,291,292,893,913,931,953
OPE,Date of Receipt,,,,,,,,,,2012-10-22
OPE,Number of Days Pending,,,,,,,,,,487
OSERS,Date of Receipt,,,,,,,,,,2013-07-23
OSERS,Number of Days Pending,,,,,,,,,,299
