Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
BPA,1,5,0.5,1.5,6,
CBFO,0,0,N/A,N/A,N/A,
CH,0,5,1,0.4,5,
EMCBC,0,1,9,9,1,
GFO,0,0,N/A,N/A,N/A,
HQ,3,67,8,9.91,50,
ID,0,0,N/A,N/A,N/A,
NETL,0,0,N/A,N/A,N/A,
NNSA,0,7,1,7.14,6,
NR,0,0,N/A,N/A,N/A,
NRLFO,0,0,N/A,N/A,N/A,
ORO,0,0,N/A,N/A,N/A,
OSTI,0,0,N/A,N/A,N/A,
ROO,0,5,1,2,5,
SEPA,0,0,N/A,N/A,N/A,
SPR,2,0,21,21,0,
SRO,0,0,N/A,N/A,N/A,
SWPA,0,0,N/A,N/A,N/A,
WAPA,0,0,N/A,N/A,N/A,
Total,6,90,N/A,N/A,73,
