Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
Admin,0,0,0,0,
BVA,0,0,0,0,
C&LA,0,0,0,0,
CFM,0,0,0,0,
GC,0,0,0,0,
HRM,0,0,0,0,
IG,0,4,4,0,
Mgmt,0,0,0,0,
NCA,0,0,0,0,
OAL,0,1,1,0,
OASHRA,0,0,0,0,
OASP&IA,0,0,0,0,
ODASB,0,0,0,0,
ODASIA,0,0,0,0,
ODI,0,0,0,0,
OIT,1,4,5,0,
ORM,0,0,0,0,
OSDBU,0,0,0,0,
OSP,0,0,0,0,
P&P,0,0,0,0,
PA,0,0,0,0,
SEC,0,0,0,0,
VBA,0,6,4,2,
VHA,0,3,3,0,
Total,1,18,17,2,
