Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CFM,Date of Receipt,,,,,,2009-09-24,2009-09-16,2009-09-16,2009-08-13,2009-07-29
CFM,Number of Days Pending,,,,,,4,10,10,33,44
GC,Date of Receipt,,,,,,,,2009-09-02,2009-08-25,2009-08-21
GC,Number of Days Pending,,,,,,,,19,25,27
IG,Date of Receipt,2009-09-23,2009-09-21,2009-09-18,2009-09-18,2009-09-18,2009-09-17,2009-09-14,2009-09-14,2009-09-11,2009-09-11
IG,Number of Days Pending,5,7,8,8,8,9,12,12,13,13
NCA,Date of Receipt,2009-09-10,2009-09-09,2009-09-02,2009-09-02,2009-08-28,2009-08-20,2009-08-19,2009-08-17,2009-08-14,2009-06-29
NCA,Number of Days Pending,14,15,19,19,22,28,29,31,32,65
OAL,Date of Receipt,2008-04-04,2007-12-13,2007-11-19,2006-09-01,2006-08-24,2006-08-21,2006-08-08,2006-07-24,2006-04-26,2006-04-04
OAL,Number of Days Pending,376,452,469,773,776,781,790,801,862,878
OF,Date of Receipt,,,,,,,2009-09-10,2009-08-24,2009-07-29,2009-07-28
OF,Number of Days Pending,,,,,,,14,26,44,45
OI&T,Date of Receipt,2009-09-29,2009-09-28,2009-09-24,2009-09-24,2009-09-24,2009-09-18,2009-09-16,2009-09-15,2009-08-28,2009-08-27
OI&T,Number of Days Pending,1,2,4,4,4,8,10,11,22,23
VBA,Date of Receipt,2009-02-20,2009-02-10,2008-11-24,2008-07-02,2008-06-30,2008-06-23,2008-06-17,2008-06-03,2008-05-27,2008-02-15
VBA,Number of Days Pending,155,164,214,314,316,321,325,335,340,409
VHA,Date of Receipt,2009-07-29,2009-04-24,2009-04-14,2009-04-08,2009-03-26,2009-03-10,2009-02-23,2009-01-05,2007-09-05,2005-05-02
VHA,Number of Days Pending,44,110,118,122,131,143,154,187,521,1108
