Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ADJ BDS,0,47,46,1,
ALJ,1,152,149,4,
ASP,11,4,11,4,
BLS,1,27,26,2,
CFO,1,23,23,1,
EBSA,96,450,472,74,
ETA,166,1545,1639,72,
EXEC SEC,0,1,1,0,
ILAB,3,4,5,2,
MSHA,92,1565,1545,112,
OASAM,43,211,226,28,
OCIA,10,23,30,3,
ODEP,1,5,6,0,
OFCCP,24,188,188,24,
OIG,18,71,72,17,
OLMS,8,84,83,9,
OPA,6,5,7,4,
OSEC,6,25,26,5,
OSHA,539,8330,8520,349,
OWCP,163,374,495,42,
SOL,24,95,101,18,
VETS,28,138,153,13,
WB,0,7,6,1,
WHD,555,2732,2885,402,
Total,1796,16106,16715,1187,
