Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
AF,654,699,
AFRICOM,41,63,
ARMY,515,736,
ASBCA,0,0,
CENTCOM,177,151,
DCAA,0,0,
DCMA,37,31,
DeCA,0,2,
DFAS,13,7,
DHA,13,34,
DIA,809,723,
DISA,30,32,
DLA,1,3,
DoD IG,426,546,
DoDEA,0,0,
DSS,5,1,
DTIC,15,0,
DTRA,30,31,
EUCOM,35,34,
JPRA,0,0,
NAVY,1163,2183,
NGA,51,64,
NGB,45,66,
NORTHCOM,11,12,
NRO,48,47,
NSA,805,1209,
OSD/JS,1183,1177,
PACOM,84,41,
SOCOM,169,276,
SOUTHCOM,188,173,
STRATCOM,11,33,
TRANSCOM,34,70,
Total,6593,8444,
