Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIS,11,5,8,6,0,1,5,2,0,0,0,0,38
Census,17,20,31,60,1,71,23,2,27,2,13,23,290
EDA,15,3,1,9,0,1,8,0,0,0,0,0,37
ESA,4,0,0,3,0,0,0,0,1,0,0,0,8
ITA,10,4,0,11,0,2,0,0,3,0,0,0,30
MBDA,0,2,0,1,0,0,0,0,0,0,0,0,3
NIST,51,31,2,22,3,6,12,3,3,75,11,2,221
NOAA,153,81,18,33,7,43,28,21,16,8,20,13,441
NTIA,15,21,0,22,4,11,22,17,0,0,4,0,116
NTIS,4,0,0,2,0,0,2,0,0,0,0,0,8
OIG,5,49,2,8,0,8,1,6,1,0,5,1,86
OS,34,47,3,24,3,8,20,19,0,24,7,7,196
PTO,91,69,7,36,6,2,23,5,69,5,6,0,319
Total,410,332,72,237,24,153,144,75,120,114,66,46,1793
