Component,Description,No. of Times Used,Total
OIG,0,0,0
OIG,Request referred to another DOT component,5,5
HQ,N/A,0,0
OIG,Request Misdirected and Withdrawn,13,13
OIG,Unable to locate requester,1,2
OIG,Sent in error,1,2
OIG,Not applicable,0,0
OIG,Records referred were not related or indexed to the requester,3,3
HQ,Litigation,1,3
HQ,Glomar,2,3
OIG,No response from Requester,4,5
OIG,Records  on OIG Webpage,1,5
OIG,None,0,0
HQ,Referred to the web,276,394
HQ,Records lost or destroyed,118,394
AGENCY,N/A,0,0
OIG,NA - Other reason was not relied on for denials.,0,0
HQ,Requests were administratively closed,175,175
Total,0,600,1004
