Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
AMS,218,230,25,922,
APHIS,315.5,383.025,4,2249,
ASCR,32,32,32,32,
DM,1,1,1,1,
FAS,0,0,0,0,
FNCS,63,105.69,26,376,
FS,40,109.86,1,1827,
FSA,23,152.81,1,2612,
FSIS,809,705.29,19,1062,
GIPSA,13.5,13.5,13.3,13.6,
NAD,0,0,0,0,
NRCS,36.5,46.5,1,118,
OBPA,0,0,0,0,
OCFO,29,29,20,38,
OGC,0,0,0,0,
OIG,62,111,28,362,
OSEC/OCIO,12,32.33,11,74,
RD,26,26,26,26,
REE,105,105,105,105,
RMA,11,11,11,11,
Total,43,227,0,2612,
