Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
Office of the AG,10,12,9.5,8.68,19,
Office of the DAG,5,10,8,7.87,13,
Office of the Assoc. AG,4,5,8,8.11,7,
Antitrust,0,1,7,7,1,
ATF,4,0,1,1.5,4,
BOP,4,39,4,4.42,42,
Civil,0,0,N/A,N/A,N/A,
Civil Rights,0,0,N/A,N/A,N/A,
COPS,0,0,N/A,N/A,N/A,
Criminal,10,11,13,14.48,7,
CRS,0,0,N/A,N/A,N/A,
DEA,21,50,27,40.77,20,
ENRD,1,2,9,12,2,
EOIR,32,348,1,2.27,363,
EOUSA,25,19,11,9.91,21,
EOUST,0,6,1.5,2.17,6,
FBI,65,293,1.5,13.17,262,
FCSC,0,0,N/A,N/A,N/A,
JMD,0,0,N/A,N/A,N/A,
NDIC,0,0,N/A,N/A,N/A,
NSD,3,1,10.5,18,2,
OCDETF,0,0,N/A,N/A,N/A,
ODR,0,0,N/A,N/A,N/A,
OFDT,6,0,10,8.5,6,
OIG,0,0,N/A,N/A,N/A,
OIP,47,71,7,6.71,110,
OIPL,2,0,11,11,0,
OJP,0,2,18.5,18.5,0,
OLA,3,3,10,9.5,4,
OLC,6,1,20,17.71,2,
OLP,2,0,11,11,0,
OPR,1,0,13,13,0,
OSG,0,0,N/A,N/A,N/A,
OVW,2,0,4.5,4.5,2,
Pardon Attorney,0,2,1.5,1.5,2,
Public Affairs,2,0,11,11,0,
PRAO,0,0,N/A,N/A,N/A,
TAX,0,0,N/A,N/A,N/A,
USMS,6,11,1,2.47,16,
USNCB,0,0,N/A,N/A,N/A,
USPC,0,0,N/A,N/A,N/A,
Total,261,887,N/A,N/A,911,
