Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
AF,0,0,N/A,N/A,
ARMY,352,251,32,75,
ASBCA,0,0,0,0,
CENTCOM,0,0,0,0,
DCAA,1,15,13,14,
DCMA,1,0,1,1,
DeCA,0,1,1,1,
DFAS,0,0,0,0,
DIA,0,0,0,0,
DISA,0,0,0,0,
DLA,0,0,0,0,
DoDEA,1,0,8,8,
DoDIG,0,0,0,0,
DSS,0,0,0,0,
DTIC,0,0,0,0,
DTRA,0,0,0,0,
EUCOM,0,0,0,0,
JFCOM,0,0,0,0,
NAVY,938,30,243,285,
NGA,0,0,0,0,
NORTHCOM,0,3,3,5,
NRO,0,0,0,0,
NSA,11,13,24,45,
OSD/JS,0,50,N/A,N/A,
PACOM,0,0,0,0,
SOCOM,0,2,65,65,
SOUTHCOM,0,0,0,0,
STRATCOM,2,1,9,11,
TRANSCOM,0,3,1,1,
TRICARE,5,0,23,49,
Total,1311,369,N/A,N/A,
