Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
Office of the AG,170,168,
Office of the DAG,129,121,
Office of the Assoc. AG,26,20,
Antitrust,33,49,
ATF,164,592,
BOP,417,872,
Civil,79,34,
Civil Rights,184,141,
COPS,0,0,
Criminal,92,170,
CRS,0,0,
DEA,368,164,
ENRD,9,9,
EOIR,179,180,
EOUSA,1021,1208,
EOUST,2,0,
FBI,1865,2696,
FCSC,1,0,
JMD,29,17,
NSD,46,147,
OCDETF,2,1,
OFDT,1,0,
OIG,34,45,
OIP,27,24,
OJP,27,34,
OLA,52,60,
OLC,23,34,
OLP,11,5,
OPR,48,25,
OSG,22,15,
OVW,1,0,
Pardon Attorney,0,0,
Public Affairs,13,23,
PRAO,1,1,
TAX,3,2,
USMS,108,120,
USNCB,4,0,
USPC,5,13,
Total,5196,6990,
