Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
FSA,Date of Receipt,2014-08-19,2014-08-15,2014-08-14,2014-08-11,2014-07-28,2014-07-14,2014-07-07,2014-03-07,2014-03-07,2013-07-11
FSA,Number of Days Pending,29,31,32,35,45,55,60,143,143,307
IES,Date of Receipt,,,2014-09-29,2014-09-29,2014-09-25,2014-09-25,2014-09-24,2014-08-25,2014-08-25,2014-08-19
IES,Number of Days Pending,,,1,1,3,3,4,25,25,29
M,Date of Receipt,2013-06-25,2013-06-14,2013-05-31,2013-04-22,2013-02-04,2013-01-22,2012-12-28,2012-07-10,2012-04-04,2010-07-26
M,Number of Days Pending,318,322,334,361,414,425,441,557,625,1032
OCFO,Date of Receipt,,,,,,,,,,2014-09-04
OCFO,Number of Days Pending,,,,,,,,,,19
OCFO-CAM,Date of Receipt,,,2014-09-04,2014-08-01,2014-07-28,2014-07-09,2014-06-13,2014-06-10,2014-01-06,2013-09-13
OCFO-CAM,Number of Days Pending,,,18,41,45,58,75,78,187,261
OCO,Date of Receipt,,,,,,,,,2014-08-19,2014-07-15
OCO,Number of Days Pending,,,,,,,,,29,54
OCR,Date of Receipt,2014-07-31,2014-07-22,2014-07-15,2014-05-09,2014-04-22,2014-04-01,2014-02-20,2014-02-06,2012-01-05,2011-03-25
OCR,Number of Days Pending,42,49,54,99,117,127,152,163,689,884
OCR-1 Boston,Date of Receipt,,2014-09-25,2014-09-15,2014-09-15,2014-09-12,2014-09-08,2014-09-07,2014-08-04,2014-07-22,2014-07-16
OCR-1 Boston,Number of Days Pending,,3,11,11,12,16,17,36,49,53
OCR-2 New York,Date of Receipt,2013-05-01,2013-04-19,2013-04-08,2013-03-29,2013-03-25,2012-06-11,2012-04-12,2012-03-27,2012-03-21,2011-12-07
OCR-2 New York,Number of Days Pending,335,364,373,378,396,579,620,623,635,705
OCR-3 Philadelphia,Date of Receipt,,,,,,2014-09-26,2014-09-25,2014-09-10,2014-08-08,2011-11-04
OCR-3 Philadelphia,Number of Days Pending,,,,,,2,3,14,34,728
OCR-4 Atlanta,Date of Receipt,2014-08-01,2014-07-15,2014-07-08,2014-06-19,2014-06-16,2014-05-13,2014-01-09,2013-08-09,2013-02-28,2013-02-08
OCR-4 Atlanta,Number of Days Pending,41,54,60,71,76,100,154,285,399,413
OCR-5 Chicago,Date of Receipt,,,,2014-09-24,2014-09-22,2014-09-22,2014-09-16,2014-09-15,2014-09-04,2014-08-06
OCR-5 Chicago,Number of Days Pending,,,,4,6,6,10,11,18,38
OCR-6 Dallas,Date of Receipt,,,,,2014-09-30,2014-09-22,2014-09-15,2014-08-25,2014-07-31,2014-07-29
OCR-6 Dallas,Number of Days Pending,,,,,1,5,11,26,43,44
OCR-7 Kansas City,Date of Receipt,2014-03-17,2013-12-17,2013-12-02,2013-09-13,2013-08-29,2013-08-13,2013-07-23,2013-04-24,2013-02-19,2012-12-17
OCR-7 Kansas City,Number of Days Pending,139,199,210,262,272,278,299,360,407,446
OCR-8 Denver,Date of Receipt,,,,,,,,,2014-09-19,2014-09-15
OCR-8 Denver,Number of Days Pending,,,,,,,,,7,11
OCR-9 San Francisco,Date of Receipt,,,,,,,2014-09-29,2014-09-12,2014-09-08,2014-08-22
OCR-9 San Francisco,Number of Days Pending,,,,,,,1,12,16,25
OCR-10 Seattle,Date of Receipt,,,,,,,,,,2014-09-12
OCR-10 Seattle,Number of Days Pending,,,,,,,,,,12
OCR-12 Cleveland,Date of Receipt,,,,2014-09-30,2014-09-29,2014-09-28,2014-09-27,2014-09-26,2014-09-25,2014-09-24
OCR-12 Cleveland,Number of Days Pending,,,,5,17,18,22,26,75,76
OCR-Metro D.C.,Date of Receipt,2014-05-12,2014-05-04,2014-05-02,2014-04-30,2014-04-23,2014-04-22,2014-03-18,2014-02-27,2014-01-09,2013-07-02
OCR-Metro D.C.,Number of Days Pending,98,103,104,106,111,112,137,150,183,313
ODS,Date of Receipt,,,,,,2014-05-19,2014-05-19,2014-05-06,2014-04-07,2013-07-08
ODS,Number of Days Pending,,,,,,93,93,102,123,309
OESE,Date of Receipt,,,,,,2014-09-26,2014-09-26,2014-09-26,2014-09-25,2014-06-18
OESE,Number of Days Pending,,,,,,2,2,2,3,72
OIG,Date of Receipt,,,,,,,,2014-09-23,2014-08-01,2013-08-06
OIG,Number of Days Pending,,,,,,,,5,41,287
OII,Date of Receipt,,,,,,,,2014-09-29,2014-09-26,2014-09-16
OII,Number of Days Pending,,,,,,,,1,2,10
OM,Date of Receipt,,,,2014-09-05,2014-09-03,2014-09-03,2014-08-29,2014-07-28,2014-05-01,2014-04-17
OM,Number of Days Pending,,,,17,19,19,21,45,105,115
OM-PIRMS,Date of Receipt,2014-09-02,2014-08-21,2014-08-14,2014-08-14,2014-08-11,2014-07-09,2014-06-04,2014-02-10,2014-01-07,2010-07-06
OM-PIRMS,Number of Days Pending,20,27,32,32,35,58,82,162,183,1061
OPE,Date of Receipt,2014-09-11,2014-08-29,2014-08-25,2014-08-19,2014-08-08,2014-07-23,2014-07-23,2014-07-15,2014-03-05,2013-07-10
OPE,Number of Days Pending,13,21,25,29,36,48,48,54,146,308
OPEPD,Date of Receipt,,,,,,,2014-09-04,2014-05-01,2013-01-07,2011-12-09
OPEPD,Number of Days Pending,,,,,,,18,105,436,703
OS,Date of Receipt,2013-04-08,2013-04-05,2013-03-28,2013-03-01,2012-06-14,2012-06-08,2012-06-06,2012-04-05,2011-01-03,2010-10-18
