Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AF,15,0,3,0,0,0,0,1,0,0,25,
ARMY,19,1,0,5,9,0,0,0,2,0,17,
DFAS,1,0,0,0,0,0,0,0,0,0,0,
DIA,2,0,1,0,1,0,0,0,0,0,2,
DLA,1,0,4,0,0,2,0,0,0,0,0,
DoDIG,2,0,0,0,0,0,0,0,0,0,0,
DTRA,1,0,0,0,0,0,0,0,0,0,0,
NAVY,33,6,2,2,1,7,1,2,1,0,141,
NGA,1,0,0,0,0,0,0,0,0,0,0,
NSA,5,0,0,3,0,0,0,0,0,0,28,
OSD/JS,14,6,13,2,12,4,3,2,30,10,0,
Total,94,13,23,12,23,13,4,5,33,10,213,
