Component,Number of Backlogged Requests as of the End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year,
Office of the AG,170,0,
Office of the DAG,129,0,
Office of the Assoc. AG,26,0,
Antitrust,33,0,
ATF,164,0,
BOP,417,0,
Civil,79,0,
Civil Rights,184,0,
COPS,0,0,
Criminal,92,0,
CRS,0,0,
DEA,368,0,
ENRD,9,0,
EOIR,179,0,
EOUSA,1021,0,
EOUST,2,0,
FBI,1865,0,
FCSC,1,0,
JMD,29,0,
NSD,46,0,
OCDETF,2,0,
OFDT,1,0,
OIG,34,0,
OIP,27,353,
OIPL,0,0,
OJP,27,0,
OLA,52,0,
OLC,23,0,
OLP,11,0,
OPR,48,0,
OSG,22,0,
OVW,1,0,
Pardon Attorney,0,0,
Public Affairs,13,0,
PRAO,1,0,
TAX,3,0,
USMS,108,0,
USNCB,4,0,
USPC,5,0,
Total,5196,353,
