Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
OCTAE,0,0,0,1,0,0,0,0,0,0,0,0,1
OM-OCPO,6,7,1,3,0,1,6,0,0,177,0,0,201
OSHS,0,0,0,0,0,0,0,0,0,0,0,0,0
FSA,41,66,26,35,8,7,4,0,0,1,2,0,190
IES,7,23,1,7,0,0,0,0,0,0,1,0,39
IES-NAGB,1,0,0,1,0,0,0,0,0,0,0,0,2
M,39,101,10,23,2,5,9,0,0,0,2,0,191
OCFO,2,0,0,3,1,0,0,0,0,0,0,0,6
OCFO-CAM,6,29,6,2,0,0,2,0,0,0,0,0,45
OCIO,4,0,0,0,0,0,0,0,0,0,0,0,4
OCO,1,1,0,1,0,0,0,0,0,0,0,0,3
OCR,61,70,8,10,2,3,6,0,0,0,4,0,164
OCR-1 Boston,11,56,8,1,0,0,1,0,0,0,0,0,77
OCR-2 New York,84,46,18,1,0,16,0,0,0,0,7,0,172
OCR-3 Philadelphia,10,55,14,3,0,3,1,0,0,0,0,0,86
OCR-4 Atlanta,21,16,12,1,0,7,1,0,0,0,1,0,59
OCR-5 Chicago,84,42,9,0,0,8,1,0,0,0,0,0,144
OCR-6 Dallas,13,56,16,3,0,5,2,0,0,0,1,0,96
OCR-7 Kansas City,5,16,14,0,0,4,2,0,0,0,1,0,42
OCR-8 Denver,2,13,14,3,0,4,6,0,0,0,2,0,44
OCR-9 San Francisco,11,46,8,2,0,1,0,0,0,0,0,0,68
OCR-10 Seattle,15,49,3,5,0,0,0,0,0,0,0,0,72
OCR-12 Cleveland,12,7,8,0,0,3,2,0,0,0,0,0,32
OCR-Metro D.C.,12,68,7,6,0,12,2,0,0,0,1,0,108
ODS,3,1,0,3,0,0,0,0,0,0,0,0,7
OESE,6,34,1,14,1,5,10,0,0,0,0,0,71
OGC,1,1,0,0,0,0,0,0,0,0,0,0,2
OIG,7,32,8,9,1,2,1,0,0,0,1,0,61
OII,12,29,0,13,4,1,0,0,0,0,0,0,59
OLCA,0,3,0,0,0,0,0,0,0,0,0,0,3
OM,8,25,0,10,2,0,0,0,0,0,1,0,46
OPE,13,126,0,7,1,5,4,0,0,0,1,0,157
OPEPD,2,0,2,0,0,0,0,0,0,0,0,0,4
OS,2,5,1,0,1,1,0,0,0,0,1,0,11
OSERS,13,29,0,2,0,0,2,0,0,0,0,0,46
OUS,0,0,0,2,0,0,0,0,0,0,0,0,2
Total,515,1052,195,171,23,93,62,0,0,178,26,0,2315
