Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
AF,115,264,0,3,
AFRICOM,0,0,N/A,N/A,
ARMY,516,134,N/A,8,
ASBCA,0,0,N/A,N/A,
CENTCOM,0,16,6,5,
DCAA,0,0,N/A,N/A,
DCMA,5,6,7,8,
DeCA,1,0,20,20,
DFAS,0,0,N/A,N/A,
DIA,0,0,N/A,N/A,
DISA,0,0,N/A,N/A,
DLA,8,11,13,18,
DoD IG,0,3,1,1,
DoDEA,0,1,2,2,
DSS,0,0,N/A,N/A,
DTIC,0,0,N/A,N/A,
DTRA,0,0,N/A,N/A,
EUCOM,40,0,3,4,
JFCOM,0,0,N/A,N/A,
NAVY,1463,105,5,9,
NGA,0,0,N/A,N/A,
NGB,0,3,3,3,
NORTHCOM,0,0,N/A,N/A,
NRO,0,0,N/A,N/A,
NSA,2,7,23,351,
OSD/JS,2,8,2,52,
PACOM,60,0,21,128,
SOCOM,0,2,1,1,
SOUTHCOM,0,0,N/A,N/A,
STRATCOM,0,0,N/A,N/A,
TRANSCOM,0,2,26,13,
TRICARE,2,2,1,1,
Total,2214,564,N/A,N/A,
